Day,Current
74,4.08093607306
75,4.08982475626
76,4.09871343947
77,4.10760212267
78,4.11649080587
79,4.12537948908
80,4.13426817228
81,4.14315685549
82,4.15204553869
83,4.16093422189
84,4.1698229051
85,4.1787115883
86,4.1876002715
87,4.19648895471
88,4.20537763791
89,4.21426632112
90,4.22315500432
91,4.23204368752
92,4.24093237073
93,4.24982105393
94,4.25870973713
95,4.26759842034
96,4.27648710354
97,4.28537578675
98,4.29426446995
99,4.30315315315
100,4.31204183636
101,4.32093051956
102,4.32981920276
103,4.33870788597
104,4.34759656917
105,4.35648525238
106,4.36537393558
107,4.37426261878
108,4.38315130199
109,4.39203998519
110,4.40092866839
111,4.4098173516
112,4.4187060348
113,4.42759471801
114,4.43648340121
115,4.44537208441
116,4.45426076762
117,4.46314945082
118,4.47203813402
119,4.48092681723
120,4.48981550043
121,4.49870418364
122,4.50759286684
123,4.51648155004
124,4.52537023325
125,4.53425891645
126,4.54314759965
127,4.55203628286
128,4.56092496606
129,4.56981364927
130,4.57870233247
131,4.58759101567
132,4.59647969888
133,4.60536838208
134,4.61425706528
135,4.62314574849
136,4.63203443169
137,4.6409231149
138,4.6498117981
139,4.6587004813
140,4.66758916451
141,4.67647784771
142,4.68536653091
143,4.69425521412
144,4.70314389732
145,4.71203258053
146,4.72092126373
147,4.72980994693
148,4.73869863014
149,4.74758731334
150,4.75647599654
151,4.76536467975
152,4.77425336295
153,4.78314204616
154,4.79203072936
155,4.80091941256
156,4.80980809577
157,4.81869677897
158,4.82758546217
159,4.83647414538
160,4.84536282858
161,4.85425151179
162,4.86314019499
163,4.87202887819
164,4.8809175614
165,4.8898062446
166,4.8986949278
167,4.90758361101
168,4.91647229421
169,4.92536097742
170,4.93424966062
171,4.94313834382
172,4.95202702703
173,4.96091571023
174,4.96980439343
175,4.97869307664
176,4.98758175984
177,4.99647044305
178,5.00535912625
179,5.01424780945
180,5.02313649266
181,5.03202517586
182,5.04091385906
183,5.04980254227
184,5.05869122547
185,5.06757990868
186,5.07646859188
187,5.08535727508
188,5.09424595829
189,5.10313464149
190,5.11202332469
191,5.1209120079
192,5.1298006911
193,5.13868937431
194,5.14757805751
195,5.15646674071
196,5.16535542392
197,5.17424410712
198,5.18313279032
199,5.19202147353
